Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,,,TOTAL,$37.50 ,,,
,,,TOTAL,$607.73 ,,,,
,,Ceiling,,,,,,
,,,385 x Dart Ceiling Tiles,$669.90 ,,,,
,,,116 x Polyline Ceiling Tiles,$201.84 ,,,,
,,,6 x Man Hours,$75.00 ,,,,
,,,TOTAL,$946.74 ,,,,
,,Lighting,,,,,,
,,,Frame,,,,,
,,,,29 x 12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$143.80 ,,,
,,,,15 x Man Hours,$187.50 ,,,
,,,,TOTAL,$331.30 ,,,
,,,Electrical,,,,,
,,,,30 x TBI Pro 32.8ft 300LEDs SMD 5050 RGB,"$1,039.20 ",,,
,,,,2 x WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces),$19.98 ,,,
,,,,4 x Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$66.00 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO MEGA 2560 REV3,$31.81 ,,,
,,,,MAIYUM 63-37 Tin Lead Rosin core solder wire for electrical soldering (0.8mm 50g),$6.88 ,,,
,,,,21 x Nanoleaf Rhythm Edition Smarter Kit - 15 Pack,"$7,768.74 ",,,Could probably be cut in half or even third if we did less lights.
,,,,291 x Muzata 40 Pack 1M/3.3ft Black Aluminum LED Channel System U1BW,$879.92 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,"$9,866.01 ",,,
,,,Code,,,,,
,,,,6 x Man Hours,$75.00 ,,,
,,,,TOTAL,$75.00 ,,,
,,,Paint,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,TOTAL,"$10,309.81 ",,,,
,,Wall Acents,,,,,,
,,,Frame,,,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$50.00 ,,,
,,,Electrical,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,Paint,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,Code,,,,,
,,,,15 x Man Hours,$187.50 ,,,
,,,,TOTAL,$187.50 ,,,
,,,TOTAL,$287.50 ,,,,
,,Speakers,,,,,,
,,,DTOL 3.5mm Male Audio Video Extension Cable RCA Male Extension 3.5mm To RCA Cable,$4.90 ,,,,
,,,2 x AmazonBasics SW100ft 16-Gauge Speaker Wire - 100 Feet,$23.98 ,,,,
,,,2 x Lepy LP-V9S Hi-Fi Stereo Power Digital Amplifier,$59.98 ,,,,
